SampleID,Name,Time,Date,Latitude (decimal degrees),Longitude (decimal degrees),Salinity (psu),temperature(C),Pressure (dbars),Total P (micromol/kgSW),Total Si (micromol/kgSW),TA (micromol/kgSW),TCO2 (micromol/kgSW),pH,fCO2 (microatm),pCO2 (microatm),HCO3 (micromol/kgSW),CO3 (micromol/kgSW),CO2 (micromol/kgSW),B Alk (micromol/kgSW),OH (micromol/kgSW),P Alk (micromol/kgSW),Si Alk (micromol/kgSW),Revelle,O Ca,O Ar ,xCO2  (dry at 1 atm) (ppm),t(C) adjusted,P (dbars) adjusted,pH adjusted,fCO2 adjusted (microatm),pCO2 adjusted(microatm),HCO3 adjusted(micromol/kgSW),CO3 adjusted (micromol/kgSW),CO2 adjusted(micromol/kgSW),B Alk adjusted(micromol/kgSW),OH adjusted (micromol/kgSW),P Alk adjusted(micromol/kgSW),Si Alk adjusted (micromol/kgSW),Revelle adjusted,O Ca adjusted,O Ar adjusted,xCO2 out (dry at 1 atm) (ppm),pCO2_air (microatm),Windspeed,CO2 Flux (mmol/m2/d),CO2 Flux adjusted (mmol/m2/d),Whose K1/K2,Whose KHSO4,Which pH Scale,Whose Boron,Whose Air-sea Flux,Windspeed Units,Comment
 1,"1","","18-Jul-13",,,21.500,20.000,10.133,0.000,0.000,1773.438,1558.164,8.380,207.342,208.048,1393.825,157.111,7.228,60.370,5.026,0.000,0.000,10.306,4.118,2.547,212.900,20.000,10.133,8.380,207.342,208.048,1393.825,157.111,7.228,60.370,5.026,0.000,0.000,10.306,4.118,2.547,212.900,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 2,"2","","18-Jul-13",,,21.300,20.500,10.133,0.000,0.000,1662.355,1606.717,7.885,714.901,717.319,1526.473,55.642,24.602,22.942,1.670,0.000,0.000,17.325,1.463,0.905,734.587,20.500,10.133,7.885,714.901,717.319,1526.473,55.642,24.602,22.942,1.670,0.000,0.000,17.325,1.463,0.905,734.587,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 3,"3","","18-Jul-13",,,21.500,19.800,10.133,0.000,0.000,1696.283,1603.836,8.035,496.094,497.786,1510.040,76.403,17.393,31.215,2.232,0.000,0.000,15.207,2.001,1.237,509.249,19.800,10.133,8.035,496.094,497.786,1510.040,76.403,17.393,31.215,2.232,0.000,0.000,15.207,2.001,1.237,509.249,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 4,"4","","18-Jul-13",,,21.600,20.300,10.133,0.000,0.000,1768.185,1542.316,8.400,195.278,195.940,1371.601,163.967,6.747,63.237,5.416,0.000,0.000,10.008,4.299,2.662,200.597,20.300,10.133,8.400,195.278,195.940,1371.601,163.967,6.747,63.237,5.416,0.000,0.000,10.008,4.299,2.662,200.597,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 5,"5","","18-Jul-13",,,21.700,19.700,10.133,0.000,0.000,1764.537,1546.074,8.390,199.687,200.369,1380.511,158.549,7.013,61.894,5.038,0.000,0.000,10.185,4.146,2.565,204.953,19.700,10.133,8.390,199.687,200.369,1380.511,158.549,7.013,61.894,5.038,0.000,0.000,10.185,4.146,2.565,204.953,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 6,"6","","18-Jul-13",,,21.700,19.600,10.133,0.000,0.000,1670.705,1612.591,7.900,683.989,686.329,1531.762,56.738,24.091,23.863,1.616,0.000,0.000,17.214,1.483,0.917,701.931,19.600,10.133,7.900,683.989,686.329,1531.762,56.738,24.091,23.863,1.616,0.000,0.000,17.214,1.483,0.917,701.931,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 7,"7","","18-Jul-13",,,21.800,19.400,10.133,0.000,0.000,1831.650,1608.239,8.390,207.023,207.733,1437.045,163.864,7.329,61.959,4.921,0.000,0.000,10.303,4.278,2.647,212.396,19.400,10.133,8.390,207.023,207.733,1437.045,163.864,7.329,61.959,4.921,0.000,0.000,10.303,4.278,2.647,212.396,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 8,"8","","18-Jul-13",,,21.700,19.600,10.133,0.000,0.000,1736.730,1551.454,8.315,241.698,242.525,1407.391,135.550,8.513,54.042,4.202,0.000,0.000,11.049,3.543,2.192,248.038,19.600,10.133,8.315,241.698,242.525,1407.391,135.550,8.513,54.042,4.202,0.000,0.000,11.049,3.543,2.192,248.038,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 9,"9","","18-Jul-13",,,21.500,19.600,10.133,0.000,0.000,1759.836,1566.325,8.335,232.684,233.480,1416.106,142.015,8.204,55.329,4.376,0.000,0.000,10.887,3.717,2.297,238.788,19.600,10.133,8.335,232.684,233.480,1416.106,142.015,8.204,55.329,4.376,0.000,0.000,10.887,3.717,2.297,238.788,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 10,"10","","18-Jul-13",,,21.600,20.300,10.133,0.000,0.000,1776.818,1556.633,8.385,204.724,205.418,1389.134,160.425,7.073,61.606,5.232,0.000,0.000,10.182,4.206,2.605,210.300,20.300,10.133,8.385,204.724,205.418,1389.134,160.425,7.073,61.606,5.232,0.000,0.000,10.182,4.206,2.605,210.300,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
